ID,Name,type,a_t,d_t
1,0,1,0,255
2,1,2,0,255
3,2,3,0,285
4,3,4,5,290
5,4,5,5,260
6,5,6,5,260
7,6,1,10,295
8,7,2,10,295
9,8,3,10,265
10,9,4,10,265
11,10,5,15,300
12,11,6,15,300
13,12,1,15,270
14,13,2,15,270
15,14,3,20,305
16,15,4,20,305
17,16,5,20,275
18,17,6,20,275
19,18,1,25,310
20,19,2,25,310
21,20,3,25,280
22,21,4,25,280
23,22,5,30,315
24,23,6,30,315
25,24,1,30,285
26,25,2,30,285
27,26,3,35,320
28,27,4,35,320
29,28,5,35,290
30,29,6,35,290
31,30,1,40,325
32,31,2,40,325
33,32,3,40,295
34,33,4,40,295
35,34,5,45,330
36,35,6,45,330
37,36,1,45,300
38,37,2,45,300
39,38,3,50,335
40,39,4,50,335
41,40,5,50,305
42,41,6,50,305
43,42,1,55,340
44,43,2,55,340
45,44,3,55,310
