id,type,train ID
1,1,1
2,2,1
3,2,2
4,3,2
5,3,3
6,4,3
7,1,3
8,4,4
9,1,4
10,1,5
11,2,5
12,2,6
13,3,6
14,4,6
15,3,7
16,4,7
17,4,8
18,1,8
19,1,9
20,2,9
21,3,9
22,2,10
23,3,10
24,3,11
25,4,11
26,4,12
27,1,12
28,2,12
29,1,13
30,2,13
31,2,14
32,3,14
33,3,15
34,4,15
35,1,15
36,4,16
37,1,16
38,1,17
39,2,17
40,2,18
41,3,18
42,4,18
43,3,19
44,4,19
45,4,20
46,1,20
47,1,21
48,2,21
49,3,21
50,2,22
51,3,22
52,3,23
53,4,23
54,4,24
55,1,24
56,2,24
57,1,25
58,2,25
59,2,26
60,3,26
61,3,27
62,4,27
63,1,27
64,4,28
65,1,28
66,1,29
67,2,29
68,2,30
69,3,30
70,4,30
71,3,31
72,4,31
73,4,32
74,1,32
75,1,33
76,2,33
77,3,33
78,2,34
79,3,34
80,3,35
81,4,35
82,4,36
83,1,36
84,2,36
85,1,37
86,2,37
87,2,38
88,3,38
89,3,39
90,4,39
91,1,39
92,4,40
93,1,40
94,1,41
95,2,41
96,2,42
97,3,42
98,4,42
99,3,43
100,4,43
101,4,44
102,1,44
103,1,45
104,2,45
105,3,45
106,2,46
107,3,46
108,3,47
109,4,47
110,4,48
111,1,48
112,2,48
113,1,49
114,2,49
115,2,50
116,3,50
117,3,51
118,4,51
119,1,51
120,4,52
121,1,52
122,1,53
123,2,53
124,2,54
125,3,54
126,4,54
127,3,55
128,4,55
129,4,56
130,1,56
131,1,57
132,2,57
133,3,57
134,2,58
135,3,58
136,3,59
137,4,59
138,4,60
139,1,60
140,2,60
141,1,61
142,2,61
143,2,62
144,3,62
145,3,63
146,4,63
147,1,63
148,4,64
149,1,64
150,1,65
151,2,65
