link_id,from_node_id,to_node_id,length
1,1,4,5
2,2,5,5
3,3,6,5
4,4,7,5
5,4,8,5
6,4,9,5
7,4,10,5
8,4,11,5
9,4,12,5
10,4,13,5
11,4,14,5
12,4,15,5
13,4,16,5
14,4,17,5
15,4,18,5
16,5,7,5
17,5,8,5
18,5,9,5
19,5,10,5
20,5,11,5
21,5,12,5
22,5,13,5
23,5,14,5
24,5,15,5
25,5,16,5
26,5,17,5
27,5,18,5
28,6,7,5
29,6,8,5
30,6,9,5
31,6,10,5
32,6,11,5
33,6,12,5
34,6,13,5
35,6,14,5
36,6,15,5
37,6,16,5
38,6,17,5
39,6,18,5
40,7,19,5
41,8,20,5
42,9,21,5
43,10,22,5
44,11,23,5
45,12,24,5
46,13,25,5
47,14,26,5
48,15,27,5
49,16,28,5
50,17,29,5
51,18,30,5
52,19,31,5
53,19,32,5
54,20,31,5
55,20,32,5
56,21,31,5
57,21,32,5
58,22,31,5
59,22,32,5
60,23,31,5
61,23,32,5
62,24,31,5
63,24,32,5
64,25,31,5
65,25,32,5
66,26,31,5
67,26,32,5
68,27,31,5
69,27,32,5
70,28,31,5
71,28,32,5
72,29,31,5
73,29,32,5
74,30,31,5
75,30,32,5
76,19,33,5
77,19,34,5
78,20,33,5
79,20,34,5
80,21,33,5
81,21,34,5
82,22,33,5
83,22,34,5
84,23,33,5
85,23,34,5
86,24,33,5
87,24,34,5
88,25,33,5
89,25,34,5
90,26,33,5
91,26,34,5
92,27,33,5
93,27,34,5
94,28,33,5
95,28,34,5
96,29,33,5
97,29,34,5
98,30,33,5
99,30,34,5
100,31,35,5
101,31,36,5
102,31,37,5
103,31,38,5
104,31,39,5
105,31,40,5
106,32,35,5
107,32,36,5
108,32,37,5
109,32,38,5
110,32,39,5
111,32,40,5
112,33,35,5
113,33,36,5
114,33,37,5
115,33,38,5
116,33,39,5
117,33,40,5
118,34,35,5
119,34,36,5
120,34,37,5
121,34,38,5
122,34,39,5
123,34,40,5
124,35,41,5
125,36,42,5
126,37,43,5
127,38,44,5
128,39,45,5
129,40,46,5
