Node_id,Node_Name,Node_Type
1,io-1,1
2,io-2,1
3,io-3,1
4,t1,5
5,t2,5
6,t3,5
7,p1-1,2
8,p2-1,2
9,p3-1,2
10,p4-1,2
11,p5-1,2
12,p6-1,2
13,p7-1,2
14,p8-1,2
15,p9-1,2
16,p10-1,2
17,p11-1,2
18,p12-1,2
19,p1-2,2
20,p2-2,2
21,p3-2,2
22,p4-2,2
23,p5-2,2
24,p6-2,2
25,p7-2,2
26,p8-2,2
27,p9-2,2
28,p10-2,2
29,p11-2,2
30,p12-2,2
31,t4,5
32,t5,5
33,c1,6
34,c2,6
35,r1-1,3
36,r2-1,3
37,r3-1,3
38,r4-1,3
39,wt1-1,4
40,wt2-1,4
41,r1-2,3
42,r2-2,3
43,r3-2,3
44,r4-2,3
45,wt1-2,4
46,wt2-2,4
