ID,Name,type,a_t,d_t
1,0,1,0,230
2,1,2,0,230
3,2,3,5,355
4,3,4,5,265
5,4,5,5,235
6,5,6,10,360
7,6,1,10,270
8,7,2,10,270
9,8,3,15,335
10,9,4,15,245
11,10,5,15,275
12,11,6,20,370
13,12,1,20,250
14,13,2,20,250
15,14,3,25,375
16,15,4,25,285
17,16,5,25,255
18,17,6,30,380
19,18,1,30,290
20,19,2,30,290
21,20,3,35,355
22,21,4,35,265
23,22,5,35,295
24,23,6,40,390
25,24,1,40,270
26,25,2,40,275
27,26,3,45,395
28,27,4,45,305
29,28,5,45,275
30,29,6,50,400
31,30,1,50,310
32,31,2,50,310
33,32,3,55,375
34,33,4,55,285
35,34,5,55,315
