id,type,train ID
1,1,1
2,2,1
3,3,1
4,4,1
5,2,2
6,3,2
7,4,2
8,1,2
9,3,3
10,4,3
11,1,3
12,2,3
13,4,4
14,1,4
15,2,4
16,3,4
17,1,5
18,2,5
19,3,5
20,4,5
21,2,6
22,3,6
23,4,6
24,1,6
25,3,7
26,4,7
27,1,7
28,2,7
29,4,8
30,1,8
31,2,8
32,3,8
33,1,9
34,2,9
35,3,9
36,4,9
37,2,10
38,3,10
39,4,10
40,1,10
41,3,11
42,4,11
43,1,11
44,2,11
45,4,12
46,1,12
47,2,12
48,3,12
49,1,13
50,2,13
51,3,13
52,4,13
53,2,14
54,3,14
55,4,14
56,1,14
57,3,15
58,4,15
59,1,15
60,2,15
61,4,16
62,1,16
63,2,16
64,3,16
65,1,17
66,2,17
67,3,17
68,4,17
69,2,18
70,3,18
71,4,18
72,1,18
73,3,19
74,4,19
75,1,19
76,2,19
77,4,20
78,1,20
79,2,20
80,3,20
81,1,21
82,2,21
83,3,21
84,4,21
85,2,22
86,3,22
87,4,22
88,1,22
89,3,23
90,4,23
91,1,23
92,2,23
93,4,24
94,1,24
95,2,24
96,3,24
