id,type,train ID
1,1,1
2,2,1
3,3,1
4,4,1
5,2,2
6,3,2
7,4,2
8,5,2
9,3,3
10,4,3
11,5,3
12,1,3
13,4,4
14,5,4
15,1,4
16,2,4
17,5,5
18,1,5
19,2,5
20,3,5
21,1,6
22,2,6
23,3,6
24,4,6
25,2,7
26,3,7
27,4,7
28,5,7
29,3,8
30,4,8
31,5,8
32,1,8
33,4,9
34,5,9
35,1,9
36,2,9
37,5,10
38,1,10
39,2,10
40,3,10
41,1,11
42,2,11
43,3,11
44,4,11
45,2,12
46,3,12
47,4,12
48,5,12
49,3,13
50,4,13
51,5,13
52,1,13
53,4,14
54,5,14
55,1,14
56,2,14
57,5,15
58,1,15
59,2,15
60,3,15
61,1,16
62,2,16
63,3,16
64,4,16
65,2,17
66,3,17
67,4,17
68,5,17
69,3,18
70,4,18
71,5,18
72,1,18
73,4,19
74,5,19
75,1,19
76,2,19
77,5,20
78,1,20
79,2,20
80,3,20
81,1,21
82,2,21
83,3,21
84,4,21
85,2,22
86,3,22
87,4,22
88,5,22
