Time_s,Nodes,Columns,LB,UB,Gap
0.000204186,0,25,,,0
30.9679,1,2554,10694.014327,,0
34.9889,2,2601,10692.600746,,0
35.7377,3,2601,10686.047757,,0
37.9287,4,2626,10686.047757,,0
41.4386,5,2666,10686.254625,,0
281.875,6,9746,10686.254625,16441.000000,53.8518
287.491,7,9746,10686.955907,16441.000000,53.8418
294.756,8,9771,10686.955907,16441.000000,53.8418
298.687,9,9788,10687.654863,16441.000000,53.8317
307.452,10,9809,10687.654863,16441.000000,53.8317
721.577,11,16186,10686.217227,16125.000000,50.8953
723.123,12,16186,10686.217227,16125.000000,50.8953
725.939,13,16186,10681.899555,16125.000000,50.9563
727.43,14,16186,10677.869305,16125.000000,51.0133
729.482,15,16186,10677.869305,16125.000000,51.0133
1437.23,16,25422,10680.492072,16125.000000,50.9762
1444.88,17,25422,10676.603529,16125.000000,51.0312
1450.44,18,25422,10668.897193,16125.000000,51.1403
1452.36,19,25422,10664.764545,16125.000000,51.1988
1455.69,20,25422,10659.683813,16125.000000,51.2709
2003.5,21,31223,10646.210043,16125.000000,51.4624
2005.36,22,31223,10645.235577,16125.000000,51.4762
2009,23,31223,10642.822798,16125.000000,51.5106
2011.61,24,31223,10640.129004,16125.000000,51.5489
2014.43,25,31223,10638.695043,16125.000000,51.5693
2797.89,26,38587,10638.695043,16125.000000,51.5693
2805.22,27,38587,10640.129004,16125.000000,51.5489
2810.73,28,38587,10638.200369,16125.000000,51.5764
2813.1,29,38587,10638.200369,16125.000000,51.5764
2818,30,38587,10639.204119,16125.000000,51.5621
