Time_s,Nodes,Columns,LB,UB,Gap
0.000497743,0,18,,,0
67.3273,1,3530,27762.170722,,0
68.281,2,3547,27761.601133,,0
71.7372,3,3669,27752.074894,,0
72.6211,4,3687,27752.074894,,0
72.7752,5,3687,27752.295609,,0
165.522,6,6905,27752.295609,36882.000000,32.8971
177.592,7,7011,27752.416302,36882.000000,32.8965
177.696,8,7011,27752.416302,36882.000000,32.8965
183.151,9,7019,27761.601133,36882.000000,32.8526
190.975,10,7094,27742.606755,36882.000000,32.9435
250.504,11,8164,27742.606755,36882.000000,32.9435
250.649,12,8164,27744.173338,36882.000000,32.936
261.423,13,8230,27744.173338,36882.000000,32.936
267.986,14,8250,27742.958278,36882.000000,32.9418
278.666,15,8315,27742.958278,36882.000000,32.9418
392.476,16,10711,27744.991298,36882.000000,32.9321
397.876,17,10711,27744.991298,36882.000000,32.9321
401.879,18,10720,27747.633805,36882.000000,32.9194
402.857,19,10720,27747.633805,36882.000000,32.9194
403.688,20,10720,27686.735047,36882.000000,33.2118
480.727,21,11674,27686.735047,36882.000000,33.2118
483.615,22,11674,27728.041098,36882.000000,33.0134
486.953,23,11674,27699.073047,36882.000000,33.1525
492.303,24,11709,27699.073047,36882.000000,33.1525
500.042,25,11745,27709.402705,36882.000000,33.1028
597.734,26,13281,27709.402705,36882.000000,33.1028
612.573,27,13347,27711.211232,36882.000000,33.0941
624.442,28,13383,27700.679368,36882.000000,33.1447
624.831,29,13383,27686.720290,36882.000000,33.2119
627.945,30,13401,27582.679381,36882.000000,33.7143
754.56,31,15161,27582.679381,36882.000000,33.7143
760.055,32,15177,27580.022503,36882.000000,33.7272
762.84,33,15194,27580.022503,36882.000000,33.7272
768.257,34,15212,27608.078052,36882.000000,33.5913
768.395,35,15212,27608.078052,36882.000000,33.5913
860.044,36,16349,27612.292347,36882.000000,33.5709
869.65,37,16382,27589.990869,36882.000000,33.6789
872.056,38,16399,27589.990869,36882.000000,33.6789
872.829,39,16399,27590.988124,36882.000000,33.6741
877.768,40,16416,27590.988124,36882.000000,33.6741
943.03,41,16688,27612.292347,36882.000000,33.5709
950.528,42,16739,27621.156148,36882.000000,33.5281
955.081,43,16739,27621.156148,36882.000000,33.5281
956.024,44,16739,27631.989338,36882.000000,33.4757
969.547,45,16773,27631.989338,36882.000000,33.4757
1035.01,46,17223,27635.036151,36882.000000,33.461
1044.48,47,17241,27635.036151,36882.000000,33.461
1056.77,48,17272,27642.226696,36882.000000,33.4263
1068.47,49,17306,27642.226696,36882.000000,33.4263
1078.26,50,17340,27642.324934,36882.000000,33.4258
1155.01,51,17467,27642.324934,36882.000000,33.4258
1153.96,52,17467,27642.792986,36882.000000,33.4236
1164.93,53,17484,27642.792986,36882.000000,33.4236
1170.63,54,17517,27643.058043,36882.000000,33.4223
1175.78,55,17517,27643.058043,36882.000000,33.4223
1267.54,56,18023,27596.112455,36882.000000,33.6493
1271.3,57,18037,27596.112455,36882.000000,33.6493
1274.86,58,18037,27654.855984,36882.000000,33.3654
1288.25,59,18071,27654.855984,36882.000000,33.3654
1298.81,60,18085,27614.995207,36882.000000,33.5579
1365.61,61,18237,27614.995207,36882.000000,33.5579
